M&N	K	Batches	MB	Iterations	Gflops
64	64	1	0	10000	41.13
64	64	2	0	10000	82.63
64	64	4	0	10000	163.11
64	64	8	0	10000	331.33
64	64	16	0	10000	666.06
64	64	32	0	10000	1319.99
64	64	64	1	10000	2054.67
64	64	128	3	10000	2433.98
64	64	256	6	10000	2809.41
64	64	512	12	10000	3170.22
64	64	1024	24	10000	3404.25
64	64	2048	48	5120	3508.81
64	64	4096	96	2560	3590.39
128	64	1	0	10000	249.99
128	64	2	0	10000	503.14
128	64	4	0	10000	1005.12
128	64	8	0	10000	2002.27
128	64	16	1	10000	2844.59
128	64	32	2	10000	3319.24
128	64	64	4	10000	3481.69
128	64	128	8	10000	3857.34
128	64	256	16	10000	4060.11
128	64	512	32	5120	4168.43
128	64	1024	64	2560	4251.1
128	64	2048	128	1280	4286.87
128	64	4096	256	640	4303.55
256	64	1	0	10000	1359.78
256	64	2	0	10000	2700.07
256	64	4	0	10000	3529.72
256	64	8	1	10000	3913.89
256	64	16	3	10000	3894.23
256	64	32	6	10000	4166.73
256	64	64	12	10000	4382.8
256	64	128	24	5120	4454.44
256	64	256	48	2560	4520.76
256	64	512	96	1280	4551.48
256	64	1024	192	640	4548.36
256	64	2048	384	320	4538.17
256	64	4096	768	160	4542.23
512	64	1	0	10000	4016.44
512	64	2	1	10000	4272.72
512	64	4	2	10000	4111.2
512	64	8	5	10000	4340.3
512	64	16	10	10000	4539.35
512	64	32	20	5120	4585.61
512	64	64	40	2560	4619.31
512	64	128	80	1280	4646.58
512	64	256	160	640	4659.12
512	64	512	320	320	4670.41
512	64	1024	640	160	4676.56
1024	64	1	2	10000	4522.45
1024	64	2	4	10000	4445.71
1024	64	4	9	10000	4548.65
1024	64	8	18	5120	4638.16
1024	64	16	36	2560	4687.86
1024	64	32	72	1280	4713.56
1024	64	64	144	640	4725.5
1024	64	128	288	320	4730.39
1024	64	256	576	160	4734.29
64	128	1	0	10000	41.41
64	128	2	0	10000	82.34
64	128	4	0	10000	163.72
64	128	8	0	10000	331.7
64	128	16	0	10000	666.46
64	128	32	1	10000	1313.55
64	128	64	2	10000	2059.7
64	128	128	5	10000	2436.76
64	128	256	10	10000	2805.64
64	128	512	20	10000	3171.3
64	128	1024	40	5120	3406.3
64	128	2048	80	2560	3509.5
64	128	4096	160	1280	3586.3
128	128	1	0	10000	249.1
128	128	2	0	10000	504.28
128	128	4	0	10000	1009.82
128	128	8	0	10000	2003.9
128	128	16	1	10000	2843.55
128	128	32	3	10000	3316.69
128	128	64	6	10000	3478.42
128	128	128	12	10000	3854.07
128	128	256	24	5120	4037.4
128	128	512	48	2560	4179.46
128	128	1024	96	1280	4253.46
128	128	2048	192	640	4286.06
128	128	4096	384	320	4302.53
256	128	1	0	10000	1343.93
256	128	2	0	10000	2699.25
256	128	4	1	10000	3527.6
256	128	8	2	10000	3911.46
256	128	16	4	10000	3889.22
256	128	32	8	10000	4194.19
256	128	64	16	5120	4380.2
256	128	128	32	2560	4487.22
256	128	256	64	1280	4540.35
256	128	512	128	640	4567.43
256	128	1024	256	320	4579.87
256	128	2048	512	160	4570.99
256	128	4096	1024	80	4548.37
512	128	1	0	10000	3990.57
512	128	2	1	10000	4223.9
512	128	4	3	10000	4111.31
512	128	8	6	10000	4350.5
512	128	16	12	5120	4473.46
512	128	32	24	2560	4570.12
512	128	64	48	1280	4618.89
512	128	128	96	640	4647.02
512	128	256	192	320	4659.56
512	128	512	384	160	4664.83
512	128	1024	768	80	4680.22
1024	128	1	2	10000	4521.12
1024	128	2	5	10000	4443.51
1024	128	4	10	5120	4548.51
1024	128	8	20	2560	4638.89
1024	128	16	40	1280	4688.74
1024	128	32	80	640	4713.46
1024	128	64	160	320	4725.08
1024	128	128	320	160	4730.89
1024	128	256	640	80	4734.43
64	256	1	0	10000	41.22
64	256	2	0	10000	82.67
64	256	4	0	10000	163.73
64	256	8	0	10000	332
64	256	16	1	10000	663.34
64	256	32	2	10000	1319.92
64	256	64	4	10000	2059.79
64	256	128	9	10000	2437.43
64	256	256	18	10000	2808.64
64	256	512	36	5120	3169.98
64	256	1024	72	2560	3405.98
64	256	2048	144	1280	3513.84
64	256	4096	288	640	3592.23
128	256	1	0	10000	248.43
128	256	2	0	10000	503.81
